Symbol,Name,Sector,industry
APPN,Appian Corporation,Technology,Computer Software: Prepackaged Software
ARGX,argenx SE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BAND,Bandwidth Inc.,Technology,Computer Software: Prepackaged Software
DNLI,Denali Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
HLNE,Hamilton Lane Incorporated,Finance,Investment Managers
KRYS,"Krystal Biotech, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MDB,"MongoDB, Inc.",Technology,Computer Software: Prepackaged Software
OKTA,"Okta, Inc.",Technology,Computer Software: Prepackaged Software
ROKU,"Roku, Inc.",Consumer Services,Television Services
ZLAB,Zai Lab Limited,Health Care,Major Pharmaceuticals
